username_author,link_username_author,link_content_comment
AAL_Happy,https://www.tripadvisor.com.vn/Profile/AAL_Happy,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d6691681-r652543168-La_Beaute_De_Hanoi_Hotel-Hanoi.html
Nicholas B,https://www.tripadvisor.com.vn/Profile/nicholasb581,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d6691681-r652341717-La_Beaute_De_Hanoi_Hotel-Hanoi.html
StevenG,https://www.tripadvisor.com.vn/Profile/Biolit32,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d6691681-r651383647-La_Beaute_De_Hanoi_Hotel-Hanoi.html
Jon O,https://www.tripadvisor.com.vn/Profile/jlo575,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d6691681-r650453228-La_Beaute_De_Hanoi_Hotel-Hanoi.html
Trang Huynh,https://www.tripadvisor.com.vn/Profile/TRANGHUYNH83,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d12713861-r667411941-Hanoi_La_Siesta_Central_Hotel-Hanoi.html
hptsc,https://www.tripadvisor.com.vn/Profile/hptsc,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d12713861-r624419676-Hanoi_La_Siesta_Central_Hotel-Hanoi.html
Freedom815769,https://www.tripadvisor.com.vn/Profile/Freedom815769,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d12713861-r616630169-Hanoi_La_Siesta_Central_Hotel-Hanoi.html
Renee S,https://www.tripadvisor.com.vn/Profile/renees150,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d12713861-r666192157-Hanoi_La_Siesta_Central_Hotel-Hanoi.html
Harvey J,https://www.tripadvisor.com.vn/Profile/481harveyj,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d12713861-r666084875-Hanoi_La_Siesta_Central_Hotel-Hanoi.html
Mark F,https://www.tripadvisor.com.vn/Profile/markfW7318DA,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d10815710-r653813484-Hanoi_Trendy_Hotel_Spa-Hanoi.html
Malte Boetel,https://www.tripadvisor.com.vn/Profile/i_am_malte,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d10815710-r653805176-Hanoi_Trendy_Hotel_Spa-Hanoi.html
